Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.26513871156475E-05,-1.5742724565615E-05,0.0452777610383739,0,0,0,2.9887249749171,0.0136862770640689,6.69045000229793E-07,-3.08621535501323E-07,0.0112779246258948,-2.26930660317598E-07,0.0223184454586288,0,0,0,0,0,0,package://eMeetArm_models/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eMeetArm_models/meshes/base_link.STL,,安装底座-1;底面安装板-1;RB200-G5211-R0630-100DJM1E-L-1;GB／T70．1-2000内六角圆柱头螺钉M3×12-4;GB／T70．1-2000内六角圆柱头螺钉M3×12-3;GB／T70．1-2000内六角圆柱头螺钉M3×12-1;GB／T70．1-2000内六角圆柱头螺钉M3×12-2,基准坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-7.4393277062379E-05,-0.00743203317797858,0.128765008589431,0,0,0,2.35824980558236,0.00383791573125331,7.01396501492847E-07,-3.09202743571665E-06,0.00465819508220185,-0.000530039602599771,0.00221408091488039,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link1.STL,,连杆1-1;GB／T70．1-2000内六角圆柱头螺钉M2×20-15;GB／T70．1-2000内六角圆柱头螺钉M2×20-14;GB／T70．1-2000内六角圆柱头螺钉M2×20-16;GB／T70．1-2000内六角圆柱头螺钉M2×20-13;GB／T70．1-2000内六角圆柱头螺钉M2×20-12;GB／T70．1-2000内六角圆柱头螺钉M2×20-11;GB／T70．1-2000内六角圆柱头螺钉M2×20-18;GB／T70．1-2000内六角圆柱头螺钉M2×20-17;关节2安装框架-1;80关节模组带抱闸RB200-G8017-R1830-100DJM2E-L-1;GB／T70．1-2000内六角圆柱头螺钉M2×20-29;GB／T70．1-2000内六角圆柱头螺钉M2×20-28;GB／T70．1-2000内六角圆柱头螺钉M2×20-35;GB／T70．1-2000内六角圆柱头螺钉M2×20-30;GB／T70．1-2000内六角圆柱头螺钉M2×20-31;GB／T70．1-2000内六角圆柱头螺钉M2×20-32;GB／T70．1-2000内六角圆柱头螺钉M2×20-33;GB／T70．1-2000内六角圆柱头螺钉M2×20-34,坐标系1,joint1,Joint1,revolute,0,0,0.1078,0,0,0,base_link,0,0,1,5,30,-3.1,3.1,,,,,,,,
Link2,0.262334166073163,-2.30075418332643E-05,0.0292792731278192,0,0,0,1.23593589919935,0.000521066265507803,1.66498206532369E-07,1.28943373675324E-05,0.00836492400345204,-2.82843566382884E-07,0.00851304966664655,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link2.STL,,连杆2-1;GB／T70．1-2000内六角圆柱头螺钉M3×20-13;GB／T70．1-2000内六角圆柱头螺钉M3×20-14;GB／T70．1-2000内六角圆柱头螺钉M3×20-15;GB／T70．1-2000内六角圆柱头螺钉M3×20-12;GB／T70．1-2000内六角圆柱头螺钉M3×20-11;GB／T70．1-2000内六角圆柱头螺钉M3×20-10;GB／T70．1-2000内六角圆柱头螺钉M3×20-9;GB／T70．1-2000内六角圆柱头螺钉M3×20-8;GB／T70．1-2000内六角圆柱头螺钉M3×20-7;GB／T70．1-2000内六角圆柱头螺钉M3×20-16;GB／T70．1-2000内六角圆柱头螺钉M3×20-1;GB／T70．1-2000内六角圆柱头螺钉M3×20-2;GB／T70．1-2000内六角圆柱头螺钉M3×20-3;GB／T70．1-2000内六角圆柱头螺钉M3×20-4;GB／T70．1-2000内六角圆柱头螺钉M3×20-5;GB／T70．1-2000内六角圆柱头螺钉M3×20-6;关节3安装框架-1;GB／T70．1-2000内六角圆柱头螺钉M2×10-2;GB／T70．1-2000内六角圆柱头螺钉M2×10-3;GB／T70．1-2000内六角圆柱头螺钉M2×10-4;GB／T70．1-2000内六角圆柱头螺钉M2×10-5;GB／T70．1-2000内六角圆柱头螺钉M2×10-6;GB／T70．1-2000内六角圆柱头螺钉M2×10-1;RB200-G5211-R0630-100DJM2E-L-1,坐标系2,joint2,Joint2,revolute,0,-0.0625,0.1502,1.5708,-0.30769,-3.1416,Link1,0,0,1,30,30,-0.8,3.14,,,,,,,,
Link3,0.250990565530514,0.00808545394179894,-0.0222401755365892,0,0,0,0.752556593812719,0.000425309657305075,-5.61728607430966E-05,-1.50015547434599E-06,0.00322998845965891,-5.25098997553526E-07,0.00319703542103549,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link3.STL,,连杆3-1;GB／T70．1-2000内六角圆柱头螺钉M2×20-21;GB／T70．1-2000内六角圆柱头螺钉M2×20-20;GB／T70．1-2000内六角圆柱头螺钉M2×20-27;GB／T70．1-2000内六角圆柱头螺钉M2×20-26;GB／T70．1-2000内六角圆柱头螺钉M2×20-25;GB／T70．1-2000内六角圆柱头螺钉M2×20-24;GB／T70．1-2000内六角圆柱头螺钉M2×20-23;GB／T70．1-2000内六角圆柱头螺钉M2×20-22;GB／T70．1-2000内六角圆柱头螺钉M3×10-2;GB／T70．1-2000内六角圆柱头螺钉M3×10-1;GB／T70．1-2000内六角圆柱头螺钉M3×10-3;双轴云台放置座1-1;0-e7002-1209-base-1,坐标系3,joint3,Joint3,revolute,0.35,0,0.089,0,0,2.8339,Link2,0,0,1,5,30,-3.14,0,,,,,,,,
Link4,-0.0101264888829805,-9.43656253071801E-06,0.0183147239415546,0,0,0,0.096843847451149,3.90651033692534E-05,-7.03126515657744E-09,1.31677639794987E-05,4.72677970007942E-05,-4.24198916633624E-09,5.03679132119555E-05,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link4.STL,,0-e7002-1209-关节1-2,坐标系4,joint4,joint4,revolute,0.339,-0.024975,-0.04,1.5708,0,0,Link3,0,0,-1,1,1,-3.1,3.1,,,,,,,,
Link5,0.0012638,0.00010623,0.021049,0,0,0,0.045324,9.6597E-06,4.2023E-08,1.6641E-06,1.3078E-05,-8.5768E-08,8.9202E-06,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link5.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link5.STL,,0-e7002-1209-关节2-1,坐标系5,joint5,joint5,revolute,-0.022739,0,0.048353,-1.5708,0,-1.5708,Link4,0,0,1,1,1,-3.1,3.1,,,,,,,,
Link6,-0.000391828204109268,-5.10898276429028E-05,8.72654266097506E-05,0,0,0,0.0550538676063611,1.97473690747458E-05,2.97287907271867E-08,-3.3993136804071E-08,1.6757375365036E-05,-1.34242857049597E-07,1.07644206564509E-05,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link6.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://eMeetArm_models/meshes/Link6.STL,,0-e7002-1209-关节3-1,坐标系6,joint6,joint6,revolute,0,0,0.03484,3.1416,-1.5708,0,Link5,0,0,-1,1,1,-3.1,3.1,,,,,,,,
