Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.9777E-06,1.8206E-05,0.022021,0,0,0,1.8755,0.0079177,-2.9447E-07,-1.7015E-08,0.0055387,6.8359E-09,0.0129,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/base_link.STL,,底面承托板-1;E-RBE23-S12-L80-4;E-RBE23-S12-L80-3;E-RBE23-S12-L80-2;E-RBE23-S12-L80-1;08顶部连接盖-1;80关节模组带抱闸RB200-G8017-R1830-100DJM2E-Lv2-4;基座-1;08固定板-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-1.5718E-05,-0.00073244,0.093753,0,0,0,1.6386,0.0072645,-1.0236E-07,-7.5726E-10,0.0048828,6.2071E-06,0.0048835,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/Link1.STL,,80盖-1;61801-2Z-HRB-2;TAS21-12-挡圈-2;关节2新安装框架-1;关节1外罩贴片-1;关节1外罩贴片-2;连杆1-外罩-1;80关节模组带抱闸RB200-G8017-R1830-100DJM2E-Lv2-3,坐标系1,joint1,Joint1,revolute,0,0,0.1015,0,0,0,base_link,0,0,1,5,2,-1.5,1.5,,,,,,,,
Link2,0.19809,-0.0004606,-0.0006753,0,0,0,1.0826,0.0009463,9.2691E-06,2.3452E-05,0.0050526,1.5989E-07,0.0049262,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/Link2.STL,,关节2-连杆2-1;RB200-G5211-R0630-100DJM2E-Lv2-2;关节-3安装框架-1;52盖-1;61801-2Z-HRB-1;TAS21-12-挡圈-1;关节支撑架4-1;贴片-1;贴片-2;关节3-框架-1;连杆2-外罩-1,坐标系2,joint2,Joint2,revolute,0,0.001,0.151,1.5708,-0.66662,0,Link1,0,0,-1,5,2,-1.5,1.5,,,,,,,,
Link3,0.16541,-3.4823E-05,-0.00063705,0,0,0,0.3598,0.00017068,6.1016E-07,1.0922E-05,0.0021614,6.3629E-08,0.0020906,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/Link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/Link3.STL,,连杆3-1;连杆3连接盘-1;三轴云台连接板-1;连杆-3外罩分割-1,坐标系3,joint3,Joint3,revolute,0.349,0,0.001,0,0,-0.6356,Link2,0,0,-1,5,2,-1.5,1.5,,,,,,,,
arm_end_link,0.0036664,0.019468,6.4393E-15,0,0,0,0.0071735,1.1466E-06,-6.4497E-23,-1.5111E-20,1.2806E-06,-2.0776E-21,1.5311E-07,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/arm_end_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot_arm_description_v2/meshes/arm_end_link.STL,,三轴云台连接板2-1,坐标系4,,end,fixed,0.292,0,-0.013032,-1.5708,0,0,Link3,0,0,0,,,,,,,,,,,,
